Script Start,Round,Round Start, Round Finish,Source,Source User,Target Name,Target Name, Target Type,Is Default, Port Name
09-08-2015 06:44:11,3,06:44:14,06:44:15,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS001
09-08-2015 06:44:11,4,06:44:16,06:44:17,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,Existing - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS005
09-08-2015 06:44:33,4,06:44:37,06:44:38,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS003
09-08-2015 06:44:33,4,06:44:37,06:44:38,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,New,No,TS005
09-08-2015 06:45:43,5,06:45:48,06:45:50,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,Existing - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS008
09-08-2015 06:45:43,6,06:45:51,06:45:51,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS003
09-08-2015 06:46:12,15,06:46:29,06:46:31,SHARP MX-C311 PS (redirected 2),Administrator,Full Access,SHARP MX-C311 PS - Administrator,New,Yes,TS003
09-08-2015 06:46:12,16,06:46:32,06:46:33,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Full Access,HP06B66F (HP Officejet Pro 8600) - Administrator,Existing - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS009
09-08-2015 06:46:54,12,06:47:08,06:47:09,SHARP MX-C311 PS (redirected 2),Administrator,Rename Only,SHARP MX-C311 PS - Administrator,Self - SHARP MX-C311 PS (redirected 2),Yes,TS006
09-08-2015 06:46:54,13,06:47:10,06:47:11,HP06B66F (HP Officejet Pro 8600) (redirected 2),Administrator,Rename Only,HP06B66F (HP Officejet Pro 8600) - Administrator,Self - HP06B66F (HP Officejet Pro 8600) (redirected 2),No,TS010
